n_inventario,autore,titolo,casa_editrice,anno,isbn,generi,ripetuti
91,Lew Wallace,Ben Hur,San Paolo,1966,-,"Romanzo Storico, Avventura",FALSE
103,Vitaliano Brancati,Il bell’Antonio,Bompiani,1963,-,"Narrativa, Romanzo",FALSE
104,André Gide,I falsari,Bompiani,1953,-,"Narrativa, Romanzo",FALSE
113,Herman Melville,Moby Dick (2 volumi),Garzanti,1946,-,"Narrativa, Avventura, Classico",FALSE
114,Herman Melville,Moby Dick (2 volumi),Garzanti,1946,-,"Narrativa, Avventura, Classico",FALSE
115,Primo Levi,Se questo è un uomo - La tregua,Einaudi,1996,9788806143947,"Biografia, Memorie, Romanzo Storico",FALSE
118,John Steinbeck,L’inverno del nostro scontento,Mondadori,1962,-,"Narrativa, Romanzo",FALSE
122,Lev Tolstoj,Guerra e pace,Mondadori,1945,-,"Romanzo Storico, Classico",FALSE
123,Lev Tolstoj,Guerra e pace,Mondadori,1945,-,"Romanzo Storico, Classico",FALSE
136,Natalia Ginzburg,Le piccole virtù,Einaudi,1962,-,"Narrativa, Saggistica",FALSE
141,James Hilton,"Addio, Mister Chips",Mondadori,1938,-,"Narrativa, Romanzo",FALSE
150,Carlo Emilio Gadda,Quel pasticciaccio brutto...,Garzanti,1957,-,"Giallo, Thriller, Classico",FALSE
158,John Steinbeck,La valle dell’Eden,Mondadori,1954,-,"Narrativa, Classico",FALSE
163,Margaret Mitchell,Via col vento,Mondadori,-,-,Romanzo Storico,FALSE
168,Arthur Miller,Morte di un commesso viaggiatore,Garzanti,1968,-,"Poesia, Teatro",FALSE
174,Fëdor Dostoevskij,I fratelli Karamazov,Mondadori,1969,-,"Narrativa, Classico",FALSE
175,Fëdor Dostoevskij,I fratelli Karamazov,Mondadori,1969,-,"Narrativa, Classico",FALSE
176,Fëdor Dostoevskij,I fratelli Karamazov,Mondadori,1969,-,"Narrativa, Classico",FALSE
177,Oscar Wilde,Il ritratto di Dorian Gray,Sansoni,1965,-,"Fantasy, Gotico, Classico",FALSE
182,Dacia Maraini,Donna in guerra,Einaudi,1973,9788806385101,"Narrativa, Romanzo",FALSE
184,Peter Weiss,Colloquio dei tre viandanti,Einaudi,1969,-,"Narrativa, Romanzo",FALSE
190,Grazia Deledda,Canne al vento,Famiglia Cristiana,1997,-,"Narrativa, Classico",FALSE
200,W. Sheridan Allen,Come si diventa nazisti,Einaudi,1968,-,"Saggistica, Storia",FALSE
202,John Steinbeck,Uomini e topi,Bompiani,1974,9788845209673,"Narrativa, Classico",FALSE
203,Roberto Battaglia,Storia della Resistenza italiana,Einaudi,1964,-,"Saggistica, Storia",FALSE
204,William Shakespeare,Amleto,Einaudi,1965,-,"Poesia, Teatro",FALSE
205,Malvezzi-Pirelli,Lettere di condannati a morte...,Einaudi,1967,-,"Biografia, Memorie, Storia",FALSE
214,Leonardo Sciascia,A ciascuno il suo,Adelphi,1995,9788845907219,"Giallo, Thriller",FALSE
248,Luigi Pirandello,Il berretto a sonagli...,Mondadori,1969,-,"Poesia, Teatro",FALSE
260,Italo Calvino,L’entrata in guerra,Einaudi,1974,9788806380625,"Narrativa, Racconti, Romanzo Storico",FALSE
262,John Steinbeck,Uomini e topi,Bompiani,1995,9788845248436,"Narrativa, Classico",FALSE
263,Jack Kerouac,I sotterranei,Feltrinelli,1965,-,"Narrativa, Biografia, Memorie",FALSE
271,Elio Vittorini,Conversazione in Sicilia,Einaudi,1966,-,"Narrativa, Classico",FALSE
281,Elsa Morante,La storia,Einaudi,1974,9788806397272,Romanzo Storico,FALSE
23,Rondolino,Dizionario del cinema italiano 1945-1969,Einaudi,1969,-,"Saggistica, Manuali",FALSE
292,Luigi Pirandello,Dal naso al cielo,Mondadori,1973,-,"Narrativa, Racconti",FALSE
293,Giovanni Verga,"Una peccatrice, Storia di una capinera...",Mondadori,1975,9788804492987,"Narrativa, Romanzo",FALSE
295,Antonio Fogazzaro,Malombra,Mondadori,1974,9788804492529,"Fantasy, Gotico, Classico",FALSE
304,Franz Kafka,Il castello,Mondadori,1977,9788804135506,"Narrativa, Classico",FALSE
306,Franz Kafka,Il processo,Mondadori,1975,9788804307683,"Narrativa, Classico",FALSE
309,Jaroslav Hasek,Il buon soldato sc’veik,Feltrinelli,1966,-,"Romanzo Storico, Satira",FALSE
316,James Joyce,Ulisse,Mondadori,1973,9788804000392,"Narrativa, Classico",FALSE
326,Gian Luigi Rondi,7 domande a 49 registi,SEI,1975,9788805055372,Saggistica,FALSE
328,Luigi Pirandello,I vecchi e i giovani,Mondadori,1967,-,Romanzo Storico,FALSE
346,Beppe Fenoglio,La malora,Einaudi,1968,-,"Narrativa, Romanzo",FALSE
349,Raffaello Brignetti,Il gabbiano azzurro,Mondadori,1973,9788804107102,"Narrativa, Romanzo",FALSE
351,Cesare Pavese,Feria d’agosto,Mondadori,1971,9788804092267,"Narrativa, Saggistica, Racconti",FALSE
252,AA. VV.,Diario del Che in Bolivia,Feltrinelli,1968,-,"Biografia, Memorie",FALSE
352,Antonio Fogazzaro,Piccolo mondo antico,Mondadori,1970,9788804492574,Romanzo Storico,FALSE
354,Emilio Lussu,Un anno sull’altipiano,Einaudi,1960,-,"Romanzo Storico, Biografia, Memorie",FALSE
361,Giorgio Bassani,Il giardino dei Finzi-Contini,Einaudi,1962,-,Romanzo Storico,FALSE
362,Apollonio,L’uomo nel 2000,Rizzoli,1968,-,Saggistica,FALSE
369,Leonardo Sciascia,La scomparsa di Majorana,Einaudi,1975,9788806437368,"Saggistica, Biografia, Memorie",FALSE
373,Giovanni Verga,Tutte le novelle (due volumi),Mondadori,1970,9788804000373,"Narrativa, Racconti",FALSE
374,Giovanni Verga,Tutte le novelle (due volumi),Mondadori,1970,9788804000373,"Narrativa, Racconti",FALSE
375,Cesare Pavese,La casa in collina,Einaudi,1967,-,Romanzo Storico,FALSE
378,Giovanni Verga,Mastro-Don Gesualdo,Mondadori,1966,-,"Narrativa, Classico",FALSE
379,Joseph Conrad,Racconti di mare e di costa,Mondadori,1971,9788804492727,"Narrativa, Racconti, Avventura",FALSE
382,Giuseppe Tomasi di Lampedusa,Opere,Feltrinelli,1974,9788807804476,"Narrativa, Racconti",FALSE
386,Luigi Pirandello,Il fu Mattia Pascal,Mondadori,2000,9788804492581,"Narrativa, Classico",FALSE
390,Emilio Lussu,Marcia su Roma e dintorni,Einaudi,1974,9788806037650,"Saggistica, Storia",FALSE
397,Franz Kafka,La metamorfosi,Garzanti,1976,9788811306016,"Narrativa, Racconti",FALSE
400,Ignazio Silone,Il segreto di Luca,Mondadori,2000,9788804492741,"Narrativa, Romanzo",FALSE
409,Thomas Mann,"Tonio Kroger, La morte a Venezia...",Garzanti,1982,9788811580556,"Narrativa, Racconti",FALSE
411,Oreste del Buono,La stampa italiana sotto il fascismo,Feltrinelli,1971,9788807222535,"Saggistica, Storia",FALSE
413,Carlo Levi,Le parole sono pietre,Einaudi,1980,9788806502264,"Saggistica, Biografia, Memorie",FALSE
414,Renata Viganò,L’Agnese va a morire,Einaudi,1982,9788806034987,Romanzo Storico,FALSE
416,Ernest Hemingway,Fiesta,Einaudi,1981,9788806047703,"Narrativa, Classico",FALSE
418,Robert Louis Stevenson,"Romanzi, racconti e saggi",Mondadori,-,9788804125306,"Narrativa, Racconti, Saggistica",FALSE
424,Mario Rigoni Stern,Il bosco degli urogalli,Einaudi,1974,9788806031269,"Narrativa, Racconti",FALSE
A1627,Elio Vittorini,Uomini e no,Mondadori,1973,9788804000095,Romanzo Storico,FALSE
435,Ernest Hemingway,I racconti di Nick Adams,Einaudi,1981,9788806518760,"Narrativa, Racconti",FALSE
438,Maria Bellonci,Rinascimento privato,Marsilio,-,-,Romanzo Storico,FALSE
449,Elio Vittorini,Uomini e no,Mondadori,1990,9788804332763,Romanzo Storico,FALSE
451,Maria Bellonci,Segreti dei Gonzaga,Mondadori,1997,9788804415443,Romanzo Storico,FALSE
452,Dacia Maraini,La lunga vita di Marianna Ucria,Rizzoli,1992,9788817664400,Romanzo Storico,FALSE
454,Primo Levi,I sommersi e i salvati,Einaudi,1987,9788806599669,"Saggistica, Storia",FALSE
456,Herman Melville,Moby Dick,Adelphi,1987,9788845905384,"Narrativa, Avventura, Classico",FALSE
457,Maria Bellonci,Rinascimento privato,Marsilio,-,-,"Romanzo Storico, Narrativa",FALSE
462,Francesca Sanvitale,Verso Paola,Einaudi,1992,9788806122172,"Narrativa, Romanzo breve",FALSE
463,Francesca Sanvitale,Verso Paola,Einaudi,1992,9788806122172,"Narrativa, Romanzo breve",FALSE
464,Marco Lodoli,I fannulloni,Einaudi,1990,9788806118434,"Romanzo, Esistenziale",FALSE
465,Marco Lodoli,I fannulloni,Einaudi,1990,9788806118434,"Romanzo, Esistenziale",FALSE
466,Cesare Pavese,La luna e i falò,Einaudi,1950,-,"Narrativa, Classici",FALSE
467,Natalia Ginzburg,La strada che va in città,Einaudi,1975,9788806412364,"Classico, Formazione",FALSE
469,Giuseppe Berto,Colloqui con il cane,Marsilio,1986,9788831749014,"Narrativa, Racconti",FALSE
470,Marco Polo,Il Milione,Einaudi,1982,9788806053728,"Saggistica, Storia, Biografia, Testimonianze",FALSE
489,Vasco Pratolini,Le ragazze di Sanfrediano,Mondadori,1992,9788804505038,"Neorealismo, Classico, Corale",FALSE
492,Franz Kafka,Lettera al padre,Feltrinelli,1992,9788807820191,"Biografia, Diari",FALSE
496,AA. VV.,Diario del Che in Bolivia,Feltrinelli,1968,-,"Biografia, Diari, Testimonianze",FALSE
499,Domenico Starnone,Segni d’oro,Feltrinelli,1992,9788807811517,"Romanzo, Satira",FALSE
502,Carlo Cassola,Fausto e Anna,Rizzoli,1992,9788817110198,"Romanzo Storico, Resistenza, Narrativa",FALSE
503,Aldo Palazzeschi,Le sorelle Materassi,Mondadori,1990,9788804332306,"Narrativa, Classici",FALSE
507,William Shakespeare,Amleto,Feltrinelli,1990,9788807820069,"Poesia, Teatro",FALSE
511,Johnny Hart,L’antichissimo mondo di B.C.,Mondadori,1965,-,"Fumetti, Graphic Novel",FALSE
516,Johnny Hart,B.C. in 24 lezioni,Mondadori,1972,-,"Fumetti, Graphic Novel",FALSE
519,Clara Sereni,Il gioco dei regni,Giunti,1993,9788809202819,"Romanzo Storico, Biografia, Testimonianze",FALSE
520,Clara Sereni,Il gioco dei regni,Giunti,1993,9788809202819,"Romanzo Storico, Biografia, Testimonianze",FALSE
521,Rosetta Loy,Le strade di polvere,Einaudi,1987,9788806599720,"Romanzo Storico, Narrativa",FALSE
A1556,Joseph Stiglitz,La globalizzazione che funziona,Einaudi,2006,9788806190743,"Saggistica, Politica, Scienze",FALSE
522,Rosetta Loy,Le strade di polvere,Einaudi,1987,9788806599720,"Romanzo Storico, Narrativa",FALSE
525,Edoardo Boncinelli,Le forme della vita,Einaudi,2006,9788806176540,"Saggistica, Scienze",FALSE
523,Marx - Engels,Manifesto del Partito Comunista,Einaudi,1998,9788806149490,"Saggistica, Filosofia, Politica",FALSE
524,Michel Vovelle,La Rivoluzione francese...,Einaudi,2007,9788806187799,"Saggistica, Storia",FALSE
529,Dacia Maraini,La lunga vita di Marianna Ucria,Rizzoli,1993,9788817664400,"Romanzo Storico, Narrativa",FALSE
530,Dacia Maraini,La lunga vita di Marianna Ucria,Rizzoli,1993,9788817664400,"Romanzo Storico, Narrativa",FALSE
534,Luigi Pirandello,I vecchi e i giovani,Garzanti,1993,9788811364583,"Romanzo Storico, Narrativa",FALSE
539,Marco Paolini,Il sergente,Einaudi,2008,9788806191429,"Poesia, Teatro, Romanzo Storico",FALSE
541,Ignazio Silone,Fontamara,Mondadori,1997,9788804423850,"Narrativa, Classici",FALSE
542,James Kakalios,La fisica dei supereroi,Einaudi,2005,9788806173211,"Saggistica, Scienze",FALSE
543,Giuseppe Tomasi di Lampedusa,Il Gattopardo,Feltrinelli,1993,9788807810286,"Romanzo Storico, Classici",FALSE
546,Eileen Power,Vita nel Medioevo,Einaudi,1999,9788806152339,"Saggistica, Storia, Testimonianze",FALSE
A1609,Bertolt Brecht,Vita di Galileo,Einaudi,1963,9788806062965,"Poesia, Teatro",FALSE
547,Lev Tolstoj,Sonata a Kreutzer,Feltrinelli,1991,9788807820153,"Narrativa, Romanzo breve, Classici",FALSE
548,Niccolò Machiavelli,Il Pincipe,Feltrinelli,1992,9788807820131,"Saggistica, Filosofia, Storia, Politica",FALSE
550,Oscar Wilde,De profundis,Feltrinelli,1992,9788807820467,"Biografia, Diari, Testimonianze",FALSE
552,Italo Svevo,Senilità,Feltrinelli,1991,9788807811696,"Narrativa, Classici",FALSE
570,Charles M. Schulz,Un Natale di Charlie Brown,Bompiani,1966,-,"Fumetti, Graphic Novel, Ragazzi",FALSE
587,Pier Paolo Pasolini,Ragazzi di vita,Garzanti,1992,9788811666496,"Narrativa, Ragazzi, Formazione",FALSE
589,Elsa Morante,L’isola di Arturo,Einaudi,1957,-,"Narrativa, Ragazzi, Formazione",FALSE
591,Natalia Ginzburg,Le voci della sera,Einaudi,1963,-,"Narrativa, Romanzo breve",FALSE
594,Carlo Cassola,La ragazza di Bube,Rizzoli,1973,9788817100344,"Narrativa, Romanzo Storico",FALSE
601,Carlo Emilio Gadda,Quel pasticciaccio brutto...,Garzanti,1991,9788811661122,"Giallo, Thriller, Narrativa",FALSE
602,James Joyce,Gente di Dublino,La Nuova Italia,1982,9788822100061,"Narrativa, Racconti, Classici",FALSE
610,Massimo D'Azeglio,Ettore Fieramosca,Fabbri Editori,1985,9788845023926,"Romanzo Storico, Narrativa",FALSE
617,Miguel de Cervantes,Don Chisciotte della Mancia,Rizzoli,1993,9788817169127,"Narrativa, Classici",FALSE
24,Rondolino,Dizionario del cinema italiano 1945-1969,Einaudi,1969,-,"Saggistica, Manuali",FALSE
618,Miguel de Cervantes,Don Chisciotte della Mancia,Rizzoli,1993,9788817169127,"Narrativa, Classici",FALSE
619,Miguel de Cervantes,Don Chisciotte della Mancia,Rizzoli,1993,9788817169127,"Narrativa, Classici",FALSE
620,Miguel de Cervantes,Don Chisciotte della Mancia,Rizzoli,1993,9788817169127,"Narrativa, Classici",FALSE
623,Walter Scott,Ivanohe,Garzanti,1989,9788811519785,"Romanzo Storico, Narrativa",FALSE
624,Walter Scott,Ivanohe,Garzanti,1989,9788811519785,"Romanzo Storico, Narrativa",FALSE
625,Walter Scott,Ivanhoe,Penguin Books,1986,9780140431431,"Lingue Straniere, Romanzo Storico",FALSE
626,Gustave Flaubert,L'education sentimentale,Folio,1965,9782070360661,"Lingue Straniere, Narrativa",FALSE
628,Sibilla Aleramo,Una donna,Feltrinelli,1992,9788807804472,"Narrativa, Biografia, Testimonianze",FALSE
629,Charles Darwin,L’origine della specie,Einaudi,2009,9788806196234,"Saggistica, Scienze",FALSE
636,Italo Svevo,La coscienza di Zeno,Mondadori,1987,9788842430031,"Narrativa, Classici, Biografia, Diari",FALSE
637,Alberto Moravia,Gli indifferenti,Bompiani,1995,9788845213601,"Narrativa, Classici",FALSE
638,Alberto Moravia,Gli indifferenti,Bompiani,1995,9788845213601,"Narrativa, Classici",FALSE
639,Hermann Hesse,Demian,Mondadori,1993,9788804374469,"Narrativa, Ragazzi, Formazione",FALSE
640,Hermann Hesse,Gertrud,Mondadori,1980,9788804179374,"Classico, Psicologico, Musicale",FALSE
641,Hermann Hesse,Racconti,Mondadori,2001,9788804493037,"Narrativa, Racconti",FALSE
642,Hermann Hesse,Sotto la ruota,Mondadori,1999,9788804467380,"Narrativa, Ragazzi, Formazione",FALSE
643,Franz Kafka,Il messaggio dell’imperatore,Adelphi,1994,9788845904325,"Narrativa, Racconti",FALSE
A1615,Samuel Beckett,Aspettando Godot,Einaudi,1969,-,"Poesia, Teatro",FALSE
644,J. W. Goethe,Favola,Adelphi,1990,9788845907876,"Narrativa, Racconti",FALSE
645,Michele Serra,Il nuovo che avanza,Feltrinelli,1997,9788807811739,"Narrativa, Racconti, Attualità",FALSE
647,Hermann Hesse,Leggende e fiabe,Mondadori,1999,9788804468691,"Ragazzi, Fiabe, Narrativa, Racconti",FALSE
699,Dario Fo,Teatro comico,Garzanti,1962,-,"Poesia, Teatro",FALSE
771,Luciano De Maria,Marinetti e il Futurismo,-,-,-,"Saggistica, Storia, Filosofia",FALSE
801,Henry James,The portrait of a lady,Oxford University Press,1981,9780192815159,"Lingue Straniere, Narrativa",FALSE
802,Nathaniel Hawthorne,The Scarlet Letter,Oxford University Press,1990,9780192827879,"Lingue Straniere, Narrativa",FALSE
803,Thomas Hardy,Tess of the D'Urbervilles,Oxford University Press,1983,9780192816354,"Lingue Straniere, Narrativa",FALSE
805,Virginia Woolf,To the Lighthouse,Oxford University Press,1992,9780192828753,"Lingue Straniere, Narrativa",FALSE
806,Virginia Woolf,Orlando,Oxford University Press,1992,9780192828333,"Lingue Straniere, Fantasy, Narrativa",FALSE
807,Horace Walpole,The Castle of Otranto,Oxford University Press,1982,9780192816156,"Lingue Straniere, Fantasy, Gotico",FALSE
808,Mark Twain,The adventures of Tom Sawyer,Oxford University Press,1993,9780192822607,"Lingue Straniere, Ragazzi, Narrativa",FALSE
809,Jack London,"The call of the Wild, White fang...",Oxford University Press,1991,9780192827299,"Lingue Straniere, Narrativa",FALSE
810,Robert Louis Stevenson,Dr. Jekyll and Mr. Hyde,Oxford University Press,1987,9780192817402,"Lingue Straniere, Fantasy, Gotico",FALSE
811,Herman Melville,Moby Dick,Oxford University Press,1988,9780192817293,"Lingue Straniere, Narrativa",FALSE
812,Jonathan Swift,Gulliver's Travels,Oxford University Press,1986,9780192817474,"Lingue Straniere, Narrativa",FALSE
813,Thomas Hardy,Far From the Madding Crowd,Oxford University Press,1993,9780192822454,"Lingue Straniere, Narrativa",FALSE
814,George Eliot,The mill on the Floss,Oxford University Press,1980,9780192815142,"Lingue Straniere, Narrativa",FALSE
816,John Bunyan,The Pilgrim's Progress,Oxford University Press,1984,9780192816095,"Lingue Straniere, Narrativa",FALSE
817,Emily Brontë,Wuthering Heights,Oxford University Press,1981,9780192815439,"Lingue Straniere, Narrativa",FALSE
818,Charlotte Brontë,Jane Eyre,Oxford University Press,1980,9780192815135,"Lingue Straniere, Narrativa",FALSE
A1557,Dino Buzzati,Le notti difficili,Mondadori,1973,9788804098900,"Narrativa, Racconti, Fantasy, Gotico",FALSE
819,Jane Austen,Emma,Oxford University Press,1990,9780192815302,"Lingue Straniere, Narrativa",FALSE
820,Jane Austen,Pride and Prejudice,Oxford University Press,1990,9780192827640,"Lingue Straniere, Narrativa",FALSE
821,Charles Dickens,Christmas Books,Oxford University Press,1985,9780192817887,"Lingue Straniere, Narrativa, Ragazzi",FALSE
823,Daniel Defoe,Moll Flanders,Oxford University Press,1981,9780192815418,"Lingue Straniere, Narrativa",FALSE
824,J. Fenimore Cooper,The last of the Mohicans,Oxford University Press,1983,9780192815333,"Lingue Straniere, Romanzo Storico",FALSE
825,Joseph Conrad,Lord Jim,Oxford University Press,1983,9780192815661,"Lingue Straniere, Narrativa",FALSE
826,Charles Dickens,Great Expectations,Oxford University Press,1994,9780192822294,"Lingue Straniere, Narrativa, Formazione",FALSE
827,Charles Dickens,David Copperfield,Oxford University Press,1982,9780192815340,"Lingue Straniere, Narrativa",FALSE
828,William Thackeray,Vanity fair,Oxford University Press,1983,9780192815197,"Lingue Straniere, Narrativa, Classico",FALSE
829,Geoffrey Chaucer,The Canterbury Tales,Oxford University Press,1983,9780192815388,"Lingue Straniere, Narrativa, Classico",FALSE
831,Charles Dickens,The Pickwick Papers,Oxford University Press,1987,9780192817764,"Lingue Straniere, Narrativa, Classico",FALSE
838,Sebastiano Vassalli,La chimera,Einaudi,1992,9788806129188,Romanzo Storico,FALSE
840,Leonardo Sciascia,La strega e il capitano,Bompiani,1995,9788845246738,"Saggistica, Storia",FALSE
844,Charles Dickens,"Timbra il tuo cartellino, Bristow",Mondadori,1973,-,"Fumetti, Graphic Novel",FALSE
A1611,Leonardo Sciascia,Il mare color del vino,Einaudi,1973,9788806376513,"Narrativa, Racconti",FALSE
845,Leonardo Sciascia,Il mare color del vino,Einaudi,1973,9788806376513,"Narrativa, Racconti",FALSE
846,Howard Post,Gli emarginati,Mondadori,1973,9788804423455,"Fumetti, Graphic Novel",FALSE
A1612,Leonardo Sciascia,Il mare color del vino,Einaudi,1973,9788806376513,"Narrativa, Racconti",FALSE
847,Charles M. Schulz,Il bambino a una dimensione,Mondadori,1971,-,"Fumetti, Graphic Novel",FALSE
848,Charles M. Schulz,E’ domani Charlie Brown,Mondadori,1974,9788804113332,"Fumetti, Graphic Novel",FALSE
A1613,Leonardo Sciascia,Il mare color del vino,Einaudi,1973,9788806376513,"Narrativa, Racconti",FALSE
849,Elzie Crisler Segar,Fino all’ultimo spinacio,Mondadori,1974,-,"Fumetti, Graphic Novel",FALSE
A1614,Leonardo Sciascia,Il mare color del vino,Einaudi,1973,9788806376513,"Narrativa, Racconti",FALSE
850,Leonardo Sciascia,Il mare color del vino,Einaudi,1973,9788806376513,"Narrativa, Racconti",FALSE
851,Mort Walker,Manuale della recluta,Mondadori,1973,-,"Fumetti, Graphic Novel",FALSE
852,Charles Dickens,Bristow il contestatore integrato,Mondadori,1973,-,"Fumetti, Graphic Novel",FALSE
853,Mort Walker,Il mondo è una caserma,Mondadori,1975,-,"Fumetti, Graphic Novel",FALSE
855,Dario Fo,Morte accidentale di un anarchico,Einaudi,1974,9788806039692,"Poesia, Teatro",FALSE
856,Leonardo Sciascia,Il contesto,Einaudi,1971,9788806323838,"Giallo, Thriller",FALSE
863,Leonardo Sciascia,Il contesto,Einaudi,1971,9788806323838,"Giallo, Thriller",FALSE
1016,Dario Fo,Le commedie di D. Fo,Einaudi,1975,9788806041831,"Poesia, Teatro",FALSE
1130,Atti convegno Pisa,Il linguaggio cinematografico,Plan,2002,9788888267029,"Saggistica, Cinema",FALSE
1445,Quino,Mafalda colpisce ancora,Bompiani,1969,-,"Fumetti, Graphic Novel",FALSE
1515,A. Melucco Vaccaro,I Longobardi in Italia,Longanesi,1982,9788830400824,"Saggistica, Storia",FALSE
1629,Brunetta,Letteratura e cinema,Zanichelli,1976,-,"Saggistica, Cinema",FALSE
1698,Natalia Ginzburg,Caro Michele,Mondadori,1973,9788806371197,"Narrativa, Romanzo",FALSE
1699,Ugo Foscolo,Ultime lettere di Jacopo Ortis,Einaudi,1963,-,"Narrativa, Classico",FALSE
1833,Rolf-Ulrich,Guida alla musica,Mondadori,1969,-,"Saggistica, Musica",FALSE
1851,Jay M. Savage,L’evoluzione,Zanichelli,1967,-,"Saggistica, Scienze",FALSE
2194,AA. VV.,Programmazione neurolinguistica,Astrolabio,1982,9788834007098,"Saggistica, Scienze",FALSE
2266,AA. VV.,Pragmatica della comunicazione umana,Astrolabio,1971,9788834001423,"Saggistica, Scienze",FALSE
2587,Antonio Tabucchi,Il filo dell’orizzonte,Feltrinelli,1991,9788807811463,"Narrativa, Romanzo, Giallo",FALSE
2599,Eschilo,I Persiani,Feltrinelli,1991,9788807820122,"Poesia, Teatro, Classico",FALSE
2604,Sofocle,Edipo Re,Feltrinelli,1991,9788807820283,"Poesia, Teatro, Classico",FALSE
2675,Carlo Emilio Gadda,Il primo libro delle favole,Mondadori,1990,9788804332411,"Narrativa, Ragazzi",FALSE
2720,Luigi Pirandello,I vecchi e i giovani,Garzanti,1993,9788811364583,Romanzo Storico,FALSE
4383,Boris Pasternak,Il dottor Zivago,Loescher,1957,-,Romanzo Storico,FALSE
6319,Giovanni Verga,Mastro Don Gesualdo,Mondadori,1960,-,"Narrativa, Classico",FALSE
A120,Lev Tolstoj,Anna Karenina,Einaudi,2014,9788806219321,"Narrativa, Classico",FALSE
A1579,Gabriele D'Annunzio,Il piacere,Gulliver,-,9788822730701,"Narrativa, Classico",FALSE
A1630,Michele Ferrari,Noi abbiamo futuro,Marcos y Marcos,2014,9788871686943,Ragazzi,FALSE
-,"Ehsani, Casolo",I ragazzi hanno grandi sogni,Feltrinelli,2018,9788807890536,"Ragazzi, Biografia, Memorie",FALSE
A1622,Leonardo Sciascia,Todo modo,Einaudi,1974,9788806404766,"Giallo, Thriller",FALSE
A1623,Leonardo Sciascia,Todo modo,Einaudi,1974,9788806404766,"Giallo, Thriller",FALSE
854,Leonardo Sciascia,Il contesto,Einaudi,1971,9788806323838,"Giallo, Thriller",FALSE
A1620,Leonardo Sciascia,Il contesto,Einaudi,1971,9788806323838,"Giallo, Thriller",FALSE
A059,Lucia Impelluso,La natura e i suoi simboli,Electa,2004,9788837024468,"Saggistica, Arte",FALSE
A066,AA. VV.,"Centrifuga: fughe, ritorni...",Sinnos,2016,9788876093227,"Ragazzi, Racconti",FALSE
A067,Bart Moeyaert,Il club della via Lattea,Sinnos,2011,9788876091872,Ragazzi,FALSE
A068,Zita Dazzi,In equilibrio perfetto,Sinnos,2016,9788876093258,Ragazzi,FALSE
A069,Catherine Forde,A bomba,Sinnos,2011,9788876091971,Ragazzi,FALSE
A070,Christophe Léon,Reato di fuga,Sinnos,2016,9788876093159,Ragazzi,FALSE
A071,Federico Appel,Pesi massimi,Sinnos,2014,9788876092787,"Fumetti, Graphic Novel, Ragazzi",FALSE
A072,AA. VV.,Il libro dell’economia,Gribaudo,2015,9788858012642,"Saggistica, Economia",FALSE
A073,Aude de Tocqueville,Atlante delle città perdute,Bompiani,2014,9788845277870,"Saggistica, Geografia",FALSE
A074,Dominique Lanni,Atlante dei paesi sognati,Bompiani,2016,9788845283123,"Saggistica, Geografia",FALSE
A075,Umberto Eco,Storia delle terre... leggendari,Bompiani,2014,9788845278143,Saggistica,FALSE
